e15,e16,e17,e18,e19,e20,pattern_count,q110,q41_rank,q41_selected,x28_nonpaired_sets,x28_cap,x175_rank,x175_selected
31,9,0,0,0,0,54895533264732160,0,,0,237336,13028686282918471925760,1085,0
32,9,0,0,0,0,78422190378188800,0,47,0,35960,2820061965999669248000,982,0
20,10,0,0,0,0,8200192,0,,0,416714486144,3417138795562139648,581,0
21,10,0,0,0,0,360808448,0,,0,151532540416,54674220728994234368,737,0
22,10,0,0,0,0,7576977408,0,,0,52860190320,400520467837220290560,854,0
23,10,0,0,0,0,101026365440,0,,0,17620064732,1780091098691487662080,955,0
24,10,0,0,0,0,959750471680,0,,0,5586850420,5361982325800606105600,1028,0
25,10,0,0,0,0,6910203396096,0,,0,1676055364,11581883468357717458944,1077,0
26,10,0,0,0,0,39157819244544,0,,0,472733636,18511218269304058281984,1112,0
27,10,0,0,0,0,179007173689344,0,,0,124403605,22269137727815543685120,1124,0
28,10,0,0,0,0,671276901335040,0,,0,30260339,20313066597267862978560,1120,0
29,10,0,0,0,0,2088417026375680,0,,0,6724520,14043602062203787673600,1091,0
30,10,0,0,0,0,5429884268576768,0,,0,1344904,7302673072345969590272,1051,0
31,10,0,0,0,0,11847020222349312,0,,0,237336,2811724391491496312832,981,0
32,10,0,0,0,0,21719537074307072,0,42,0,35960,781034553192082309120,897,0
22,11,0,0,0,0,8945664,0,,0,52860112800,472868808110899200,450,0
23,11,0,0,0,0,375717888,0,,0,17620037600,6620163313552588800,622,0
24,11,0,0,0,0,7514357760,0,,0,5586841852,41981528424468971520,723,0
25,11,0,0,0,0,95181864960,0,,0,1676052984,159529848788893040640,791,0
26,11,0,0,0,0,856636784640,0,,0,472733076,404960542217616752640,855,0
27,11,0,0,0,0,5825130135552,0,,0,124403500,724666576818143232000,893,0
28,11,0,0,0,0,31067360722944,0,,0,30260325,940108432368520396800,911,0
29,11,0,0,0,0,133145831669760,0,,0,6724519,895341674834102845440,909,0
30,11,0,0,0,0,466010410844160,0,,0,1344904,626739265585954160640,884,0
31,11,0,0,0,0,1346252297994240,0,,0,237336,319514135396760944640,837,0
32,11,0,0,0,0,3231005515186176,0,27,1,,,,0
24,12,0,0,0,0,7454720,0,,0,5586814720,41648139429478400,336,0
25,12,0,0,0,0,298188800,0,,0,1676044416,499777673153740800,455,0
26,12,0,0,0,0,5665587200,0,,0,472730696,2678296980304691200,566,0
27,12,0,0,0,0,67987046400,0,,0,124402940,8457788454076416000,628,0
28,12,0,0,0,0,577889894400,0,,0,30260220,17487075340320768000,669,0
29,12,0,0,0,0,3698495324160,0,,0,6724505,24870550299790540800,692,0
30,12,0,0,0,0,18492476620800,0,,0,1344903,24870587284743782400,693,0
31,12,0,0,0,0,73969906483200,0,,0,237336,17555721725096755200,670,0
32,12,0,0,0,0,240402196070400,0,6,1,,,,0
26,13,0,0,0,0,4587520,0,,0,472722128,2168622216642560,224,0
27,13,0,0,0,0,174325760,0,,0,124400560,21686222166425600,306,0
28,13,0,0,0,0,3137863680,0,,0,30259660,94950688083148800,373,0
29,13,0,0,0,0,35562455040,0,,0,6724400,239136172670976000,418,0
30,13,0,0,0,0,284499640320,0,,0,1344889,382620436770324480,437,0
31,13,0,0,0,0,1706997841920,0,,0,237335,405130332812083200,439,0
32,13,0,0,0,0,7965989928960,1,,0,,,,0
28,14,0,0,0,0,1966080,0,,0,30257280,59488233062400,121,1
